table,field,type,required,primary_source,model_use,known_at_rule,description,leakage_risk
plays,epa,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field epa.,Only prior completed games for pregame.
plays,wpa,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field wpa.,Only prior completed games for pregame.
plays,success,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field success.,Only prior completed games for pregame.
plays,cp,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field cp.,Only prior completed games for pregame.
plays,cpoe,float,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field cpoe.,Only prior completed games for pregame.
plays,passer_player_id,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field passer_player_id.,Only prior completed games for pregame.
plays,rusher_player_id,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field rusher_player_id.,Only prior completed games for pregame.
plays,receiver_player_id,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field receiver_player_id.,Only prior completed games for pregame.
plays,kicker_player_id,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field kicker_player_id.,Only prior completed games for pregame.
plays,punter_player_id,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field punter_player_id.,Only prior completed games for pregame.
plays,special_teams_play,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field special_teams_play.,Only prior completed games for pregame.
plays,no_huddle,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field no_huddle.,Only prior completed games for pregame.
plays,shotgun,bool,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field shotgun.,Only prior completed games for pregame.
plays,time_of_possession,string,no,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field time_of_possession.,Only prior completed games for pregame.
plays,source_name,string,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field source_name.,Only prior completed games for pregame.
plays,source_retrieved_at_utc,timestamp,yes,nflverse,pregame features/in-play,after play; corrected postgame,nflverse play-by-play field source_retrieved_at_utc.,Only prior completed games for pregame.
team_game_features,game_id,string,yes,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field game_id.,Current game excluded.
team_game_features,team_id,string,yes,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field team_id.,Current game excluded.
team_game_features,opponent_id,string,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field opponent_id.,Current game excluded.
team_game_features,is_home,bool,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field is_home.,Current game excluded.
team_game_features,feature_available_at_utc,timestamp,yes,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field feature_available_at_utc.,Current game excluded.
team_game_features,plays,int,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field plays.,Current game excluded.
team_game_features,drives,int,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field drives.,Current game excluded.
team_game_features,points_per_drive,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field points_per_drive.,Current game excluded.
team_game_features,epa_per_play,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field epa_per_play.,Current game excluded.
team_game_features,success_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field success_rate.,Current game excluded.
team_game_features,dropback_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field dropback_epa.,Current game excluded.
team_game_features,dropback_success_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field dropback_success_rate.,Current game excluded.
team_game_features,rush_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field rush_epa.,Current game excluded.
team_game_features,rush_success_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field rush_success_rate.,Current game excluded.
team_game_features,early_down_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field early_down_epa.,Current game excluded.
team_game_features,late_down_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field late_down_epa.,Current game excluded.
team_game_features,early_down_pass_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field early_down_pass_rate.,Current game excluded.
team_game_features,neutral_pass_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field neutral_pass_rate.,Current game excluded.
team_game_features,explosive_pass_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field explosive_pass_rate.,Current game excluded.
team_game_features,explosive_rush_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field explosive_rush_rate.,Current game excluded.
team_game_features,turnover_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field turnover_rate.,Current game excluded.
team_game_features,interception_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field interception_rate.,Current game excluded.
team_game_features,fumble_lost_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field fumble_lost_rate.,Current game excluded.
team_game_features,sack_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field sack_rate.,Current game excluded.
team_game_features,three_and_out_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field three_and_out_rate.,Current game excluded.
team_game_features,third_down_conversion_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field third_down_conversion_rate.,Current game excluded.
team_game_features,fourth_down_conversion_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field fourth_down_conversion_rate.,Current game excluded.
team_game_features,red_zone_trip_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field red_zone_trip_rate.,Current game excluded.
team_game_features,red_zone_td_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field red_zone_td_rate.,Current game excluded.
team_game_features,goal_to_go_td_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field goal_to_go_td_rate.,Current game excluded.
team_game_features,starting_field_position,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field starting_field_position.,Current game excluded.
team_game_features,field_position_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field field_position_epa.,Current game excluded.
team_game_features,penalty_rate,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field penalty_rate.,Current game excluded.
team_game_features,penalty_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field penalty_epa.,Current game excluded.
team_game_features,pace_seconds_per_play,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field pace_seconds_per_play.,Current game excluded.
team_game_features,plays_per_drive,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field plays_per_drive.,Current game excluded.
team_game_features,special_teams_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field special_teams_epa.,Current game excluded.
team_game_features,field_goal_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field field_goal_epa.,Current game excluded.
team_game_features,punt_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field punt_epa.,Current game excluded.
team_game_features,kickoff_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field kickoff_epa.,Current game excluded.
team_game_features,return_epa,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field return_epa.,Current game excluded.
team_game_features,season_to_date_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field season_to_date_value.,Current game excluded.
team_game_features,last_4_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field last_4_value.,Current game excluded.
team_game_features,last_8_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field last_8_value.,Current game excluded.
team_game_features,ewma_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field ewma_value.,Current game excluded.
team_game_features,opponent_adjusted_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field opponent_adjusted_value.,Current game excluded.
team_game_features,home_split_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field home_split_value.,Current game excluded.
team_game_features,away_split_value,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field away_split_value.,Current game excluded.
team_game_features,effective_sample_size,float,no,derived from nflverse pbp/team stats,all,after prior game finalized,Derived team efficiency field effective_sample_size.,Current game excluded.
player_weekly_stats,season,int,yes,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field season.,Current-game final stats excluded.
player_weekly_stats,week,string,yes,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field week.,Current-game final stats excluded.
player_weekly_stats,game_id,string,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field game_id.,Current-game final stats excluded.
player_weekly_stats,team_id,string,yes,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field team_id.,Current-game final stats excluded.
player_weekly_stats,player_id,string,yes,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field player_id.,Current-game final stats excluded.
player_weekly_stats,player_name,string,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field player_name.,Current-game final stats excluded.
player_weekly_stats,position,string,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field position.,Current-game final stats excluded.
player_weekly_stats,starter_flag,bool,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field starter_flag.,Current-game final stats excluded.
player_weekly_stats,expected_starter_flag,bool,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field expected_starter_flag.,Current-game final stats excluded.
player_weekly_stats,starter_probability,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field starter_probability.,Current-game final stats excluded.
player_weekly_stats,dropbacks,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field dropbacks.,Current-game final stats excluded.
player_weekly_stats,attempts,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field attempts.,Current-game final stats excluded.
player_weekly_stats,completions,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field completions.,Current-game final stats excluded.
player_weekly_stats,passing_yards,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field passing_yards.,Current-game final stats excluded.
player_weekly_stats,passing_touchdowns,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field passing_touchdowns.,Current-game final stats excluded.
player_weekly_stats,interceptions,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field interceptions.,Current-game final stats excluded.
player_weekly_stats,sacks_suffered,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field sacks_suffered.,Current-game final stats excluded.
player_weekly_stats,sack_yards_lost,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field sack_yards_lost.,Current-game final stats excluded.
player_weekly_stats,passing_air_yards,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field passing_air_yards.,Current-game final stats excluded.
player_weekly_stats,passing_yards_after_catch,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field passing_yards_after_catch.,Current-game final stats excluded.
player_weekly_stats,scrambles,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field scrambles.,Current-game final stats excluded.
player_weekly_stats,designed_qb_runs,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field designed_qb_runs.,Current-game final stats excluded.
player_weekly_stats,rushing_yards,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field rushing_yards.,Current-game final stats excluded.
player_weekly_stats,rushing_touchdowns,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field rushing_touchdowns.,Current-game final stats excluded.
player_weekly_stats,fumbles,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field fumbles.,Current-game final stats excluded.
player_weekly_stats,fumbles_lost,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field fumbles_lost.,Current-game final stats excluded.
player_weekly_stats,epa_per_dropback,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field epa_per_dropback.,Current-game final stats excluded.
player_weekly_stats,success_rate,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field success_rate.,Current-game final stats excluded.
player_weekly_stats,cpoe,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field cpoe.,Current-game final stats excluded.
player_weekly_stats,average_depth_of_target,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field average_depth_of_target.,Current-game final stats excluded.
player_weekly_stats,explosive_pass_rate,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field explosive_pass_rate.,Current-game final stats excluded.
player_weekly_stats,sack_rate,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field sack_rate.,Current-game final stats excluded.
player_weekly_stats,interception_rate,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field interception_rate.,Current-game final stats excluded.
player_weekly_stats,scramble_rate,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field scramble_rate.,Current-game final stats excluded.
player_weekly_stats,red_zone_efficiency,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field red_zone_efficiency.,Current-game final stats excluded.
player_weekly_stats,third_down_efficiency,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field third_down_efficiency.,Current-game final stats excluded.
player_weekly_stats,age,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field age.,Current-game final stats excluded.
player_weekly_stats,years_experience,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field years_experience.,Current-game final stats excluded.
player_weekly_stats,games_started,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field games_started.,Current-game final stats excluded.
player_weekly_stats,career_dropbacks,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field career_dropbacks.,Current-game final stats excluded.
player_weekly_stats,days_since_last_start,float,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field days_since_last_start.,Current-game final stats excluded.
player_weekly_stats,injury_status,string,no,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field injury_status.,Current-game final stats excluded.
player_weekly_stats,feature_available_at_utc,timestamp,yes,nflverse player stats/rosters/injuries,Moneyline/ATS/totals,after prior game or report timestamp,Player/QB field feature_available_at_utc.,Current-game final stats excluded.
